Date,SPY
2015-01-02,169.6878204345703
2015-01-05,166.62332153320312
2015-01-06,165.0539093017578
2015-01-07,167.11073303222656
2015-01-08,170.07606506347656
2015-01-09,168.71315002441406
2015-01-12,167.39149475097656
2015-01-13,166.92071533203125
2015-01-14,165.9130096435547
2015-01-15,164.39308166503906
2015-01-16,166.54901123046875
2015-01-20,166.90423583984375
2015-01-21,167.74668884277344
2015-01-22,170.2412872314453
2015-01-23,169.3079376220703
2015-01-26,169.7043914794922
2015-01-27,167.46585083007812
2015-01-28,165.31820678710938
2015-01-29,166.846435546875
2015-01-30,164.74827575683594
2015-02-02,166.78858947753906
2015-02-03,169.20054626464844
2015-02-04,168.55618286132812
2015-02-05,170.25779724121094
2015-02-06,169.7869873046875
2015-02-09,169.0270538330078
2015-02-10,170.82772827148438
2015-02-11,170.92684936523438
2015-02-12,172.57064819335938
2015-02-13,173.28102111816406
2015-02-17,173.55360412597656
2015-02-18,173.57009887695312
2015-02-19,173.4462127685547
2015-02-20,174.4869842529297
2015-02-23,174.4622039794922
2015-02-24,174.95777893066406
2015-02-25,174.80911254882812
2015-02-26,174.60264587402344
2015-02-27,174.0079345703125
2015-03-02,175.1064910888672
2015-03-03,174.38787841796875
2015-03-04,173.65269470214844
2015-03-05,173.84275817871094
2015-03-06,171.39772033691406
2015-03-09,172.1081085205078
2015-03-10,169.316162109375
2015-03-11,168.9196319580078
2015-03-12,171.06732177734375
2015-03-13,170.01828002929688
2015-03-16,172.28977966308594
2015-03-17,171.77767944335938
2015-03-18,173.84275817871094
2015-03-19,173.04969787597656
2015-03-20,174.57717895507812
2015-03-23,174.23703002929688
2015-03-24,173.25796508789062
2015-03-25,170.71910095214844
2015-03-26,170.31253051757812
2015-03-27,170.7025146484375
2015-03-30,172.7850341796875
2015-03-31,171.2749481201172
2015-04-01,170.66928100585938
2015-04-02,171.28329467773438
2015-04-06,172.43663024902344
2015-04-07,171.98028564453125
2015-04-08,172.5609588623047
2015-04-09,173.3243408203125
2015-04-10,174.27023315429688
2015-04-13,173.48202514648438
2015-04-14,173.8139190673828
2015-04-15,174.59381103515625
2015-04-16,174.5440216064453
2015-04-17,172.53611755371094
2015-04-20,174.1126251220703
2015-04-21,173.90518188476562
2015-04-22,174.75973510742188
2015-04-23,175.19949340820312
2015-04-24,175.60601806640625
2015-04-27,174.8759002685547
2015-04-28,175.43179321289062
2015-04-29,174.7099609375
2015-04-30,172.95933532714844
2015-05-01,174.83445739746094
2015-05-04,175.33224487304688
